YEAR_MONTH,Herkunftsland,LS,ASYLANTRÄGE insgesamt,ASYLANTRÄGE davon Erstantraege,ASYLANTRÄGE davon Folgeantraege,ENTSCHEIDUNGEN über Asylanträge insgesamt,ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Fluechtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Asylanträge Gewaehrung von subsidiaerem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Fluechtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Erstanträge Gewaehrung von subsidiaerem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Fluechtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Gewaehrung von subsidiaerem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren,ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2016-01,Haiti,346,0,0,0,1,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01,Honduras,347,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Kanada,348,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Kolumbien,349,0,0,0,0,0,0,0,0,0,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Kuba,351,3,3,0,1,0,0,0,0,0,1,147,2,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-01,Mexico,353,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Nicaragua,354,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Jamaica,355,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Paraguay,359,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Peru,361,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Venezuela,367,1,1,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Vereinigte Staaten v. Amerika,368,0,0,0,2,0,0,0,0,1,1,12,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2016-01,Jemen,421,46,46,0,7,0,0,3,1,0,3,513,33,0,0,2,1,0,3,0,0,1,0,0,0,0
2016-01,Armenien,422,149,131,18,101,0,0,3,7,46,45,3963,323,0,0,3,7,45,24,0,0,0,0,1,2,19
2016-01,Afghanistan,423,4949,4917,32,699,0,191,36,103,149,220,43375,920,0,181,36,99,146,193,0,10,0,4,3,17,10
2016-01,Bahrain,424,1,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Aserbaidschan,425,87,78,9,28,0,0,0,3,14,11,2687,300,0,0,0,0,13,6,0,0,0,3,1,5,0
2016-01,Bhutan,426,1,1,0,0,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Myanmar,427,2,2,0,2,0,2,0,0,0,0,156,3,0,2,0,0,0,0,0,0,0,0,0,0,0
2016-01,Georgien,430,154,124,30,139,0,0,0,3,86,50,3245,414,0,0,0,3,73,32,0,0,0,0,13,13,5
2016-01,Sri Lanka,431,13,9,4,36,0,4,10,5,14,3,864,182,0,4,10,5,14,3,0,0,0,0,0,0,0
2016-01,Vietnam,432,44,35,9,30,0,0,1,2,9,18,997,74,0,0,0,2,7,18,0,0,1,0,2,0,0
2016-01,Korea (Demokrat. Volksrepubl.),434,1,0,1,2,0,0,0,0,0,2,113,3,0,0,0,0,0,2,0,0,0,0,0,0,0
2016-01,Indien,436,113,108,5,76,0,0,0,1,65,10,3523,75,0,0,0,1,65,9,0,0,0,0,0,1,0
2016-01,Indonesien,437,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Irak,438,6636,6567,69,1994,16,1663,65,10,57,183,27046,1761,16,1552,59,10,54,179,0,111,6,0,3,0,4
2016-01,"Iran, Islamische Republik",439,1087,1061,26,251,15,118,0,5,55,58,8655,624,14,105,0,4,49,54,1,13,0,1,6,0,4
2016-01,Israel,441,0,0,0,0,0,0,0,0,0,0,49,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Kasachstan,444,5,1,4,0,0,0,0,0,0,0,133,33,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Jordanien,445,10,10,0,4,0,1,0,0,1,2,219,30,0,1,0,0,1,2,0,0,0,0,0,0,0
2016-01,Kambodscha,446,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Katar,447,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Kuwait,448,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,"Laos, Demokratische Volksrepublik",449,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Kirgisistan,450,1,1,0,6,0,1,0,0,3,2,87,16,0,1,0,0,0,2,0,0,0,0,3,0,0
2016-01,Libanon,451,327,304,23,54,0,8,1,0,30,15,1977,217,0,8,1,0,27,8,0,0,0,0,3,5,2
2016-01,Oman,456,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,Mongolei,457,13,13,0,21,0,1,0,3,4,13,591,35,0,1,0,3,4,2,0,0,0,0,0,2,9
